Game,Country,Number of Users,Average Rating
Coup,Malaysia,3,8.33
Coup,Mexico,20,8.29
Coup,Moldova,1,10
Coup,Netherlands,14,6.79
Coup,New Zealand,10,7.03
Coup,Norway,3,6
Coup,Peru,1,6
Coup,Philippines,6,7.67
Coup,Poland,19,6.84
Coup,Portugal,12,7.03
Coup,Romania,1,10
Coup,Russia,5,6
Coup,Saudi Arabia,2,8
Coup,Republic of Serbia,7,8
Coup,Slovakia,2,7.25
Coup,Slovenia,1,8
Coup,South Africa,2,6
Coup,South Korea,12,6.46
Coup,Spain,57,6.95
Coup,Sweden,19,6.97
Coup,Switzerland,3,7
Coup,Taiwan,8,7.71
Coup,Thailand,9,7.63
Coup,Turkey,1,8
Coup,Uganda,1,7
Coup,Ukraine,1,10
Coup,USA,818,7.35
Coup,Venezuela,2,5.5
Coup,Vietnam,2,6.15
Dead of Winter: A Crossroads Game,Argentina,12,8.77
Dead of Winter: A Crossroads Game,Australia,41,7.88
Dead of Winter: A Crossroads Game,Austria,4,7.78
Dead of Winter: A Crossroads Game,Belarus,1,8
Dead of Winter: A Crossroads Game,Belgium,8,7.63
Dead of Winter: A Crossroads Game,Bolivia,1,8
Dead of Winter: A Crossroads Game,Brazil,29,8.42
Dead of Winter: A Crossroads Game,Bulgaria,4,8.25
Dead of Winter: A Crossroads Game,Canada,120,8.07
Dead of Winter: A Crossroads Game,Chile,2,6
Dead of Winter: A Crossroads Game,China,11,8.34
Dead of Winter: A Crossroads Game,Colombia,3,8
Dead of Winter: A Crossroads Game,Croatia,2,6.7
Dead of Winter: A Crossroads Game,Czech Republic,7,7.43
Dead of Winter: A Crossroads Game,Denmark,6,9.08
Dead of Winter: A Crossroads Game,England,7,7.07
Dead of Winter: A Crossroads Game,Estonia,2,6.5
Dead of Winter: A Crossroads Game,Finland,9,8.81
Dead of Winter: A Crossroads Game,France,12,8.5
Dead of Winter: A Crossroads Game,Germany,53,7.74
Dead of Winter: A Crossroads Game,Greece,14,8.41
Dead of Winter: A Crossroads Game,Guatemala,1,9
Dead of Winter: A Crossroads Game,Hungary,4,6.5
Dead of Winter: A Crossroads Game,Iceland,1,10
Dead of Winter: A Crossroads Game,Indonesia,1,8
Dead of Winter: A Crossroads Game,Iran,1,8
Dead of Winter: A Crossroads Game,Iraq,1,9
Dead of Winter: A Crossroads Game,Ireland,9,7.94
Dead of Winter: A Crossroads Game,Israel,4,6.89
Dead of Winter: A Crossroads Game,Italy,18,6.61
Dead of Winter: A Crossroads Game,Japan,9,7.06
Dead of Winter: A Crossroads Game,Latvia,3,7
Dead of Winter: A Crossroads Game,Lithuania,8,8.13
Dead of Winter: A Crossroads Game,Luxembourg,1,7
Dead of Winter: A Crossroads Game,Macedonia,1,10
Dead of Winter: A Crossroads Game,Malaysia,3,8.83
Dead of Winter: A Crossroads Game,Mexico,15,8.67
Dead of Winter: A Crossroads Game,Netherlands,12,7.58
Dead of Winter: A Crossroads Game,New Zealand,9,7.78
Dead of Winter: A Crossroads Game,Norway,8,7.88
Dead of Winter: A Crossroads Game,Philippines,5,8.3
Dead of Winter: A Crossroads Game,Poland,29,7.97
Dead of Winter: A Crossroads Game,Portugal,13,8.22
Dead of Winter: A Crossroads Game,Qatar,1,8.8
Dead of Winter: A Crossroads Game,Romania,5,9.61
Dead of Winter: A Crossroads Game,Russia,6,7.67
Dead of Winter: A Crossroads Game,Republic of Serbia,1,8.5
Dead of Winter: A Crossroads Game,Slovakia,1,9
Dead of Winter: A Crossroads Game,South Africa,2,8
Dead of Winter: A Crossroads Game,South Korea,12,7.78
Dead of Winter: A Crossroads Game,Spain,67,8
Dead of Winter: A Crossroads Game,Sweden,12,8.86
Dead of Winter: A Crossroads Game,Switzerland,3,6.33
Dead of Winter: A Crossroads Game,Taiwan,4,8
Dead of Winter: A Crossroads Game,Thailand,4,6.63
Dead of Winter: A Crossroads Game,Turkey,1,8.5
Dead of Winter: A Crossroads Game,Ukraine,4,9.5
Dead of Winter: A Crossroads Game,USA,640,7.86
Dead of Winter: A Crossroads Game,Uruguay,3,8.67
Dead of Winter: A Crossroads Game,Venezuela,1,9
Diamant,Argentina,8,6.94
Diamant,Australia,46,6.97
Diamant,Austria,3,7
Diamant,Belarus,1,6
Diamant,Belgium,11,7.09
Diamant,Brazil,22,7.07
Diamant,Brunei,1,8
Diamant,Canada,96,7.04
Diamant,Chile,9,7.41
Diamant,China,4,6.95
Diamant,Colombia,1,10
Diamant,Croatia,1,8
Diamant,Czech Republic,2,7.5
Diamant,Denmark,5,4.8
Diamant,England,7,7.36
Diamant,Estonia,3,6.67
Diamant,Finland,20,6.93
Diamant,France,16,7.13
Diamant,Germany,61,6.9
Diamant,Greece,14,7.29
Diamant,Guatemala,1,1
Diamant,Hungary,3,7
Diamant,India,1,6
Diamant,Indonesia,1,7
Diamant,Ireland,2,7.75
Diamant,Israel,6,7.5
Diamant,Italy,17,7.24
Diamant,Japan,28,6.68
Diamant,Latvia,1,9
Diamant,Malaysia,5,6.96
Diamant,Mexico,6,7.3
Diamant,Netherlands,11,7.29
Diamant,New Zealand,13,7.22
Diamant,Norway,11,7.18
Diamant,Philippines,2,8
Diamant,Poland,13,6.96
Diamant,Portugal,7,7.11
Diamant,Romania,2,6.75
Diamant,Russia,1,5
Diamant,Saudi Arabia,1,8
Diamant,Republic of Serbia,2,9
Diamant,Slovenia,3,8.33
Diamant,South Africa,3,6.83
Diamant,South Korea,13,6.86
Diamant,Spain,76,6.96
Diamant,Sweden,17,6.28
Diamant,Switzerland,3,6.67
Diamant,Taiwan,11,7.56
Diamant,Thailand,7,8.04
Diamant,Ukraine,1,9
Diamant,USA,684,7.24
Diamant,Uruguay,1,8
Diamant,Vietnam,1,7.5
Diplomacy,Argentina,2,8
Diplomacy,Australia,34,7.23
Diplomacy,Austria,6,7.17
Diplomacy,Belgium,12,7.54
Diplomacy,Brazil,18,8.14
Diplomacy,Canada,115,7.65
Diplomacy,Chile,2,8.5
Diplomacy,China,1,5.9
Diplomacy,Czech Republic,1,8
Diplomacy,Denmark,10,7.25
Diplomacy,England,4,6.75
Diplomacy,Finland,18,7.28
Diplomacy,France,17,7.93
Diplomacy,Germany,59,7.21
Diplomacy,Greece,10,7.85
Diplomacy,Hungary,4,8.13
Diplomacy,Iceland,1,7
Diplomacy,India,1,7
Diplomacy,Indonesia,1,7
Diplomacy,Ireland,5,8.05
Diplomacy,Israel,2,6
Diplomacy,Italy,32,7.29
Diplomacy,Japan,6,6.67
Diplomacy,Latvia,1,6
Diplomacy,Lithuania,1,8
Diplomacy,Mexico,4,8.45
Diplomacy,Moldova,1,7
Diplomacy,Netherlands,19,6.6
Diplomacy,New Zealand,9,6.72
Diplomacy,Norway,10,6.8
Diplomacy,Peru,2,8.5
Diplomacy,Philippines,1,5
Diplomacy,Poland,5,7.4
Diplomacy,Portugal,9,6.28
Diplomacy,Russia,3,6.33
Diplomacy,Republic of Serbia,2,8
Diplomacy,Slovenia,1,10
Diplomacy,South Korea,3,7.67
Diplomacy,Spain,24,7.56
Diplomacy,Sweden,25,7.38
Diplomacy,Switzerland,2,8
Diplomacy,Taiwan,1,9
Diplomacy,Turkey,1,9
Diplomacy,Ukraine,1,8
Diplomacy,USA,601,7.4
Diplomacy,Venezuela,2,6.5
Dixit,Argentina,26,8.23
Dixit,Australia,83,7.65
Dixit,Austria,11,8.05
Dixit,The Bahamas,1,10
Dixit,Belarus,3,8.33
Dixit,Belgium,45,7.65
Dixit,Bolivia,1,8
Dixit,Brazil,97,8.5
Dixit,Bulgaria,10,8.05
Dixit,Canada,187,7.71
Dixit,Chile,20,8.27
Dixit,China,27,7.79
Dixit,Colombia,5,8.9
Dixit,Costa Rica,2,9.5
Dixit,Croatia,10,8.2
Dixit,Czech Republic,18,8.12
Dixit,Denmark,14,7.21
Dixit,England,10,7.2
Dixit,Estonia,6,8
Dixit,Finland,28,7.46
Dixit,France,35,8.23
Dixit,Germany,111,7.12
Dixit,Greece,49,7.87
Dixit,Hungary,25,8.4
Dixit,Iceland,2,8.75
Dixit,India,4,8.13
Dixit,Indonesia,5,8.54
Dixit,Ireland,16,7.86
Dixit,Israel,14,7.78
Dixit,Italy,69,7.99
Dixit,Japan,37,7.32
Dixit,Latvia,8,8
Dixit,Lithuania,17,7.81
Dixit,Luxembourg,3,7.67
Dixit,Macedonia,2,7
Dixit,Malaysia,8,7.88
Dixit,Mexico,20,8.56
Dixit,Moldova,1,9
Dixit,Netherlands,33,7.9
Dixit,New Zealand,19,7.63
Dixit,Norway,14,7.25
Dixit,Peru,3,8.67
Dixit,Philippines,8,7.88
Dixit,Poland,123,7.77
Dixit,Portugal,25,7.86
Dixit,Qatar,2,7.1
Dixit,Romania,16,8.1
Dixit,Russia,22,7.91
Dixit,Saudi Arabia,3,7.33
Dixit,Republic of Serbia,10,8.3
Dixit,Slovakia,4,8
Dixit,Slovenia,4,8.75
Dixit,South Africa,4,8.33
Dixit,South Korea,28,7.55
Dixit,Spain,159,7.92
Dixit,Sweden,34,7.37
Dixit,Switzerland,9,7.44
Dixit,Taiwan,32,7.98
Dixit,Thailand,16,8.52
Dixit,Turkey,1,8.5
Dixit,Uganda,1,8
Dixit,Ukraine,12,8.54
Dixit,USA,1075,7.52
Dixit,Uruguay,4,8.75
Dixit,Venezuela,2,8
Dixit,Vietnam,2,7.63
Dominion,Argentina,21,8.62
Dominion,Australia,123,7.81
Dominion,Austria,20,8.13
Dominion,Belarus,2,10
Dominion,Belgium,57,8.27
Dominion,Bolivia,2,9
Dominion,Brazil,75,8.39
Dominion,Brunei,1,10
Dominion,Bulgaria,7,8
Dominion,Canada,384,8.13
Dominion,Chile,16,8.19
Dominion,China,31,8.62
Dominion,Colombia,5,9.1
Dominion,Costa Rica,1,10
Dominion,Croatia,6,8.22
Dominion,Czech Republic,24,8.46
Dominion,Denmark,29,8.05
Dominion,Ecuador,2,7
Dominion,England,14,7.91
Dominion,Estonia,7,8.29
Dominion,Finland,53,8.37
Dominion,France,38,7.98
Dominion,Germany,291,8.2
Dominion,Greece,44,8.31
Dominion,Guatemala,2,9.25
Dominion,Hungary,24,7.72
Dominion,Iceland,2,7.5
Dominion,India,5,8
Dominion,Indonesia,3,8.67
Dominion,Iraq,1,9
Dominion,Ireland,13,8.41
Dominion,Israel,15,8.59
Dominion,Italy,65,8.04
Dominion,Japan,46,8.03
Dominion,Latvia,9,8.69
Dominion,Lithuania,16,8.34
Dominion,Luxembourg,4,8.25
Dominion,Malaysia,11,7.81
Dominion,Mexico,18,8.25
Dominion,Moldova,2,9.75
Dominion,Netherlands,63,8.26
Dominion,New Zealand,29,8.01
Dominion,Norway,31,8.65
Dominion,Peru,6,7.25
Dominion,Philippines,3,8.17
Dominion,Poland,110,8.15
Dominion,Portugal,20,8.07
Dominion,Romania,19,8.8
Dominion,Russia,26,8.62
Dominion,Saudi Arabia,1,9
Dominion,Republic of Serbia,7,7.57
Dominion,Slovakia,4,8.15
Dominion,Slovenia,4,8.75
Dominion,South Africa,8,8.5
Dominion,South Korea,35,8.52
Dominion,Spain,189,8.01
Dominion,Sweden,72,8.13
Dominion,Switzerland,23,7.98
Dominion,Taiwan,39,8.38
Dominion,Thailand,12,8.08
Dominion,Trinidad and Tobago,1,7
Dominion,Uganda,1,8
Dominion,Ukraine,9,7.56
Dominion,USA,2646,8.3
Dominion,Uruguay,3,9.67
Dominion,Venezuela,3,9.67
Dominion,Vietnam,3,7.58
Dominion: Intrigue,Argentina,7,8.86
Dominion: Intrigue,Australia,50,7.9
Dominion: Intrigue,Austria,14,7.32
Dominion: Intrigue,Azerbaijan,1,6
Dominion: Intrigue,Belarus,2,9.5
Dominion: Intrigue,Belgium,23,8.45
Dominion: Intrigue,Bolivia,2,9
Dominion: Intrigue,Brazil,21,8.6
Dominion: Intrigue,Bulgaria,1,8
Dominion: Intrigue,Canada,162,8.1
Dominion: Intrigue,Chile,7,8.07
Dominion: Intrigue,China,20,8.81
Dominion: Intrigue,Colombia,2,7.75
Dominion: Intrigue,Croatia,2,7.35
Dominion: Intrigue,Czech Republic,14,8.16
Dominion: Intrigue,Denmark,11,7.52
Dominion: Intrigue,England,8,8.78
Dominion: Intrigue,Estonia,5,7.5
Dominion: Intrigue,Finland,23,7.94
Dominion: Intrigue,France,21,7.8
Dominion: Intrigue,Germany,122,8.15
Dominion: Intrigue,Greece,13,8.65
Dominion: Intrigue,Hungary,7,7.59
Dominion: Intrigue,India,1,5
Dominion: Intrigue,Indonesia,3,8.67
Dominion: Intrigue,Ireland,4,8
Dominion: Intrigue,Israel,7,9.07
Dominion: Intrigue,Italy,30,8.38
Dominion: Intrigue,Japan,20,7.56
Dominion: Intrigue,Latvia,7,8.27
Dominion: Intrigue,Lithuania,6,8.67
Dominion: Intrigue,Luxembourg,3,6.5
Dominion: Intrigue,Malaysia,5,8.76
Dominion: Intrigue,Mexico,6,7.58
Dominion: Intrigue,Netherlands,27,8.3
Dominion: Intrigue,New Zealand,15,7.83
Dominion: Intrigue,Norway,16,8.44
Dominion: Intrigue,Peru,1,8
Dominion: Intrigue,Philippines,3,6.5
Dominion: Intrigue,Poland,56,8.06
Dominion: Intrigue,Portugal,4,9.25
Dominion: Intrigue,Qatar,1,7.6
Dominion: Intrigue,Romania,8,8.93
Dominion: Intrigue,Russia,13,8.38
Dominion: Intrigue,Republic of Serbia,2,8
Dominion: Intrigue,Slovakia,2,7.65
Dominion: Intrigue,Slovenia,1,10
Dominion: Intrigue,South Africa,4,8.38
Dominion: Intrigue,South Korea,25,8.3
Dominion: Intrigue,Spain,74,8.03
Dominion: Intrigue,Sweden,28,8.09
Dominion: Intrigue,Switzerland,14,7.93
Dominion: Intrigue,Taiwan,16,8.37
Dominion: Intrigue,Thailand,7,7.56
Dominion: Intrigue,Ukraine,8,7.39
Dominion: Intrigue,USA,1090,8.29
Dominion: Intrigue,Uruguay,1,10
Dominion: Intrigue,Venezuela,2,8.5
Dominion: Intrigue,Vietnam,2,8
Eclipse,Argentina,4,8.3
Eclipse,Australia,26,7.75
Eclipse,Austria,7,8.71
Eclipse,Azerbaijan,1,9
Eclipse,Belarus,2,9.25
Eclipse,Belgium,13,8.59
Eclipse,Brazil,35,8.58
Eclipse,Bulgaria,2,9
Eclipse,Canada,104,8.35
Eclipse,Chile,3,8.63
Eclipse,China,11,7.38
Eclipse,Colombia,1,8
Eclipse,Croatia,4,8.18
Eclipse,Czech Republic,5,7.4
Eclipse,Denmark,7,9
Eclipse,Ecuador,1,8
Eclipse,England,6,8.18
Eclipse,Estonia,2,8.7
Eclipse,Finland,34,9.01
Eclipse,France,16,8.65
Eclipse,Germany,74,8.35
Eclipse,Greece,13,8.25
Eclipse,Hungary,4,7.3
Eclipse,Iceland,1,10
Eclipse,India,2,6
Eclipse,Indonesia,1,8
Eclipse,Ireland,4,9
Eclipse,Israel,4,8.5
Eclipse,Italy,34,7.91
Eclipse,Japan,6,5.83
Eclipse,Latvia,6,8.5
Eclipse,Lithuania,5,8
Eclipse,Luxembourg,1,8
Eclipse,Malaysia,2,10
Eclipse,Mexico,1,7
Eclipse,Netherlands,14,7.9
Eclipse,New Zealand,7,8.29
Eclipse,Norway,9,7.99
Eclipse,Peru,1,9
Eclipse,Philippines,1,5
Eclipse,Poland,39,8.47
Eclipse,Portugal,4,8.75
Eclipse,Romania,3,8.5
Eclipse,Russia,13,8.54
Eclipse,Republic of Serbia,3,8.5
Eclipse,Slovakia,1,9
Eclipse,South Africa,4,9.25
Eclipse,South Korea,9,7.92
Eclipse,Spain,66,8.22
Eclipse,Sweden,20,7.83
Eclipse,Switzerland,6,8.3
Eclipse,Taiwan,7,8.37
Eclipse,Thailand,5,7.9
Eclipse,Ukraine,8,8.88
Eclipse,USA,600,8.1
Eclipse,Venezuela,3,8.67
Eclipse,Vietnam,1,10
El Grande,Argentina,11,8.74
El Grande,Australia,55,8.12
El Grande,Austria,21,9.07
El Grande,Belgium,51,8.25
El Grande,Brazil,35,8.45
El Grande,Bulgaria,1,7
El Grande,Canada,155,8.14
El Grande,Chile,9,7.91
El Grande,China,8,7.78
El Grande,Colombia,4,8.63
El Grande,Croatia,5,8.88
El Grande,Czech Republic,10,7.5
El Grande,Denmark,15,7.63
El Grande,England,8,8.38
El Grande,Estonia,3,9
El Grande,Finland,29,8.27
El Grande,France,20,8.01
El Grande,Germany,228,8.28
El Grande,Greece,21,8.17
El Grande,Hungary,12,7.92
El Grande,India,1,8
El Grande,Indonesia,3,8.67
El Grande,Ireland,6,8.33
El Grande,Israel,12,8.25
El Grande,Italy,55,8.23
El Grande,Japan,33,7.98
El Grande,Latvia,3,7.5
El Grande,Lithuania,4,8.25
El Grande,Luxembourg,1,7
El Grande,Malaysia,7,8.07
El Grande,Mexico,9,8.33
El Grande,Moldova,1,9
El Grande,Netherlands,55,8.05
El Grande,New Zealand,17,7.36
El Grande,Norway,19,8.59
El Grande,Peru,1,7.5
El Grande,Philippines,2,9
El Grande,Poland,41,8.07
El Grande,Portugal,10,8.5
El Grande,Qatar,1,8
El Grande,Romania,5,8.9
El Grande,Russia,1,7
El Grande,Saudi Arabia,1,9
El Grande,Republic of Serbia,3,8.17
El Grande,Slovakia,1,6
El Grande,Slovenia,3,9.17
El Grande,South Africa,4,9
El Grande,South Korea,28,8.2
El Grande,Spain,116,8.39
El Grande,Sweden,40,7.67
El Grande,Switzerland,14,7.96
El Grande,Taiwan,17,8.38
El Grande,Thailand,6,8.17
El Grande,Ukraine,2,7
El Grande,USA,894,8.06
El Grande,Venezuela,3,8.33
Elfenland,Argentina,2,6.75
Elfenland,Australia,18,7.44
Elfenland,Austria,9,6.47
Elfenland,Belarus,2,8.75
Elfenland,Belgium,30,7.37
Elfenland,Brazil,18,7.57
Elfenland,Brunei,1,8
Elfenland,Canada,58,6.98
Elfenland,Chile,4,7.95
Elfenland,China,2,6.3
Elfenland,Colombia,1,7.5
Elfenland,Czech Republic,7,6.43
Elfenland,Denmark,6,6.67
Elfenland,England,3,6.67
Elfenland,Estonia,4,6.5
Elfenland,Finland,13,7.23
Elfenland,France,10,7
Elfenland,Germany,107,6.9
Elfenland,Greece,7,7.49
Elfenland,Hungary,7,7.36
Elfenland,India,2,8
Elfenland,Indonesia,1,6.2
Elfenland,Ireland,1,7
Elfenland,Israel,3,8
Elfenland,Italy,34,7.09
Elfenland,Japan,29,7.14
Elfenland,Lithuania,1,8
Elfenland,Malaysia,1,7.5
Elfenland,Netherlands,41,7.3
Elfenland,New Zealand,11,6.34
Elfenland,Norway,13,7.51
Elfenland,Poland,8,7.38
Elfenland,Portugal,5,6.5
Elfenland,Romania,1,8
Elfenland,Russia,4,6.5
Elfenland,Saudi Arabia,1,8
Elfenland,Republic of Serbia,2,8.25
Elfenland,Slovakia,1,5
Elfenland,Slovenia,1,9
Elfenland,South Africa,2,6.5
Elfenland,South Korea,12,6.43
Elfenland,Spain,28,7.44
Elfenland,Sweden,28,6.95
Elfenland,Switzerland,4,7.25
Elfenland,Taiwan,5,6.78
Elfenland,Thailand,1,7
Elfenland,Ukraine,2,8.75
Elfenland,USA,475,7.06
Elfenland,Venezuela,1,6
Five Tribes,Argentina,9,8.41
Five Tribes,Australia,42,7.89
Five Tribes,Austria,3,7
Five Tribes,Belarus,1,7
Five Tribes,Belgium,14,7.86
Five Tribes,Brazil,33,8.51
Five Tribes,Bulgaria,4,9
Five Tribes,Canada,107,8.02
Five Tribes,Chile,4,7.85
Five Tribes,China,10,8.25
Five Tribes,Colombia,4,9
Five Tribes,Costa Rica,1,8
Five Tribes,Croatia,1,6.7
Five Tribes,Czech Republic,3,6.33
Five Tribes,Denmark,5,7.24
Five Tribes,England,5,8.6
Five Tribes,Estonia,3,7.98
Five Tribes,Finland,4,7.38
Five Tribes,France,22,7.8
Five Tribes,Germany,48,7.28
Five Tribes,Greece,18,8.93
Five Tribes,Guatemala,1,9
Five Tribes,Hungary,9,7.09
Five Tribes,Iceland,1,9
Five Tribes,India,4,8
Five Tribes,Indonesia,1,8.5
Five Tribes,Ireland,5,9
Five Tribes,Israel,4,8.05
Five Tribes,Italy,23,7.37
Five Tribes,Japan,8,7.44
Five Tribes,Kenya,1,7.5
Five Tribes,Latvia,3,8.75
Five Tribes,Lebanon,1,9
Five Tribes,Lithuania,6,7
Five Tribes,Luxembourg,2,5.25
Five Tribes,Malaysia,4,8.38
Five Tribes,Mexico,8,8.49
Five Tribes,Netherlands,23,7.7
Five Tribes,New Zealand,8,7.88
Five Tribes,Norway,6,7.53
Five Tribes,Peru,2,9.5
Five Tribes,Philippines,7,8.43
Five Tribes,Poland,35,8.08
Five Tribes,Portugal,11,7.75
Five Tribes,Qatar,1,2.2
Five Tribes,Romania,7,8.85
Five Tribes,Russia,7,7.43
Five Tribes,Republic of Serbia,5,7.2
Five Tribes,Slovakia,2,9.25
Five Tribes,Slovenia,1,8
Five Tribes,South Africa,4,7.88
Five Tribes,South Korea,14,7.59
Five Tribes,Spain,44,8.38
Five Tribes,Sweden,22,7.5
Five Tribes,Switzerland,6,8.25
Five Tribes,Taiwan,10,8.84
Five Tribes,Thailand,3,8.33
Five Tribes,Ukraine,5,8.4
Five Tribes,USA,602,7.91
Five Tribes,Venezuela,2,9.5
Five Tribes,Vietnam,2,8.75
Flash Point: Fire Rescue,Argentina,7,7.36
Flash Point: Fire Rescue,Australia,33,7.41
Flash Point: Fire Rescue,Austria,5,7.3
Flash Point: Fire Rescue,Belgium,14,7.39
Flash Point: Fire Rescue,Bolivia,1,9
Flash Point: Fire Rescue,Brazil,21,7.97
Flash Point: Fire Rescue,Bulgaria,1,10
Flash Point: Fire Rescue,Canada,95,7.7
Flash Point: Fire Rescue,Chile,6,7.67
Flash Point: Fire Rescue,China,3,7.23
Flash Point: Fire Rescue,Colombia,1,7
Flash Point: Fire Rescue,Czech Republic,8,7.88
Flash Point: Fire Rescue,Denmark,1,6
Flash Point: Fire Rescue,England,3,7.25
Flash Point: Fire Rescue,Finland,5,7.6
Flash Point: Fire Rescue,France,5,7.6
Flash Point: Fire Rescue,Germany,48,7.43
Flash Point: Fire Rescue,Greece,13,7.67
Flash Point: Fire Rescue,Guatemala,1,7
Flash Point: Fire Rescue,Hungary,3,7
Flash Point: Fire Rescue,India,2,8
Flash Point: Fire Rescue,Indonesia,1,8
Flash Point: Fire Rescue,Ireland,4,7.25
Flash Point: Fire Rescue,Italy,13,7.12
Flash Point: Fire Rescue,Japan,8,6.25
Flash Point: Fire Rescue,Latvia,1,9
Flash Point: Fire Rescue,Lithuania,1,9
Flash Point: Fire Rescue,Luxembourg,1,8
Flash Point: Fire Rescue,Malaysia,1,7
Flash Point: Fire Rescue,Mexico,7,8.43
Flash Point: Fire Rescue,Netherlands,24,7.52
Flash Point: Fire Rescue,New Zealand,8,7.06
Flash Point: Fire Rescue,Norway,7,6.54
Flash Point: Fire Rescue,Philippines,2,6.5
Flash Point: Fire Rescue,Poland,20,7.48
Flash Point: Fire Rescue,Portugal,3,7
Flash Point: Fire Rescue,Qatar,1,6.6
Flash Point: Fire Rescue,Romania,1,9
Flash Point: Fire Rescue,Russia,5,7.6
Flash Point: Fire Rescue,Republic of Serbia,1,7
Flash Point: Fire Rescue,Slovenia,1,10
Flash Point: Fire Rescue,South Africa,3,7.5
Flash Point: Fire Rescue,South Korea,7,8.29
Flash Point: Fire Rescue,Spain,70,7.62
Flash Point: Fire Rescue,Sweden,10,7.55
Flash Point: Fire Rescue,Switzerland,2,6.5
Flash Point: Fire Rescue,Taiwan,2,8.75
Flash Point: Fire Rescue,Thailand,6,6.5
Flash Point: Fire Rescue,Ukraine,2,6.8
Flash Point: Fire Rescue,USA,550,7.62
Flash Point: Fire Rescue,Uruguay,1,8.5
Fluxx,Argentina,3,6.33
Fluxx,Australia,30,6.02
Fluxx,Austria,1,6
Fluxx,Belarus,1,5
Fluxx,Belgium,6,7
Fluxx,Brazil,9,7
Fluxx,Brunei,1,7
Fluxx,Canada,69,6.27
Fluxx,Chile,5,6.78
Fluxx,China,4,6
Fluxx,Colombia,1,7
Fluxx,Denmark,6,4.83
Fluxx,England,3,6.67
Fluxx,Estonia,1,10
Fluxx,Finland,17,5.16
Fluxx,France,1,9
Fluxx,Germany,41,5.58
Fluxx,Greece,1,5
Fluxx,Hungary,1,9.5
Fluxx,India,1,6
Fluxx,Indonesia,1,2
Fluxx,Ireland,4,6.94
Fluxx,Israel,7,6.79
Fluxx,Italy,8,6.31
Fluxx,Japan,4,4
Fluxx,Malaysia,4,5.5
Fluxx,Mexico,2,6
Fluxx,Netherlands,18,6.85
Fluxx,New Zealand,6,6.08
Fluxx,Norway,5,5.8
Fluxx,Philippines,2,7
Fluxx,Poland,5,5.2
Fluxx,Qatar,1,8
Fluxx,Romania,2,7.25
Fluxx,Russia,4,5.75
Fluxx,Republic of Serbia,1,8
Fluxx,Slovakia,1,7
Fluxx,South Africa,1,4
Fluxx,South Korea,8,6
Fluxx,Spain,13,7.45
Fluxx,Sweden,27,5.74
Fluxx,Switzerland,3,7
Fluxx,Taiwan,1,6
Fluxx,Turkey,1,8
Fluxx,USA,1008,6.07
For Sale,Argentina,1,7
For Sale,Australia,52,7.63
For Sale,Austria,3,6
For Sale,Belarus,1,7
For Sale,Belgium,8,7.34
For Sale,Brazil,29,7.72
For Sale,Brunei,1,7
For Sale,Canada,152,7.51
For Sale,Chile,5,7.1
For Sale,China,12,6.93
For Sale,Colombia,1,7
For Sale,Croatia,1,7.3
For Sale,Czech Republic,4,8
For Sale,Denmark,4,7
For Sale,England,8,7.31
For Sale,Estonia,6,6.42
For Sale,Finland,22,7.62
For Sale,France,9,7.78
For Sale,Germany,35,7.03
For Sale,Greece,22,7.7
For Sale,Hungary,9,7.67
For Sale,Iceland,1,8
For Sale,India,5,8.9
For Sale,Indonesia,2,7.5
For Sale,Ireland,4,7.75
For Sale,Israel,9,7.47
For Sale,Italy,18,7.34
For Sale,Japan,17,6.62
For Sale,Latvia,5,7.5
For Sale,Lithuania,4,5.75
For Sale,Malaysia,6,7.25
For Sale,Mexico,4,6.75
For Sale,Moldova,1,10
For Sale,Netherlands,18,7.24
For Sale,New Zealand,16,7.24
For Sale,Norway,10,7.7
For Sale,Philippines,3,8.67
For Sale,Poland,25,7.68
For Sale,Portugal,8,7.44
For Sale,Romania,1,7
For Sale,Russia,5,7.6
For Sale,Saudi Arabia,1,8
For Sale,Republic of Serbia,4,7.25
For Sale,Slovakia,1,8
For Sale,Slovenia,2,7.75
For Sale,South Africa,5,7
For Sale,South Korea,21,7.23
For Sale,Spain,51,7.26
For Sale,Sweden,21,7.14
For Sale,Switzerland,2,7.5
For Sale,Taiwan,18,7.48
For Sale,Thailand,12,7.95
For Sale,Turkey,2,7.75
For Sale,Uganda,1,8.5
For Sale,Ukraine,2,9.5
For Sale,USA,886,7.56
For Sale,Venezuela,1,7
For Sale,Vietnam,1,6.5
Forbidden Desert,Argentina,4,8.13
Forbidden Desert,Australia,34,7.12
Forbidden Desert,Austria,1,7.5
Forbidden Desert,Belarus,1,7
Forbidden Desert,Belgium,11,7.01
Forbidden Desert,Bolivia,1,8
Forbidden Desert,Brazil,18,7.55
Forbidden Desert,Bulgaria,1,10
Forbidden Desert,Canada,94,7.72
Forbidden Desert,Chile,4,7.75
Forbidden Desert,China,3,6.5
Forbidden Desert,Colombia,3,7.33
Forbidden Desert,Costa Rica,1,9
Forbidden Desert,Croatia,1,7
Forbidden Desert,Czech Republic,2,8.5
Forbidden Desert,Denmark,5,7.94
Forbidden Desert,England,6,6.42
Forbidden Desert,Finland,7,7.21
Forbidden Desert,France,7,7.63
Forbidden Desert,Germany,34,7.36
Forbidden Desert,Greece,3,7.83
Forbidden Desert,Honduras,1,7.8
Forbidden Desert,Hungary,5,7.8
